ID,市区町村名,地番,価格(円/平米),利用の現状,周辺の土地の利用の現況
586,大田区,南雪谷３丁目６４２番１０,521000,住宅,中小規模一般住宅に共同住宅も見られる住宅地域
587,大田区,上池台１丁目１０１３番１２,476000,住宅,一般住宅のほか共同住宅もある閑静な住宅地域
588,大田区,西馬込２丁目３４番７外,474000,住宅,中規模一般住宅、アパートが混在する住宅地域
589,大田区,東嶺町１３４番４８,483000,住宅,中小規模一般住宅、アパートが混在する住宅地域
590,大田区,田園調布２丁目２４番２６外,619000,住宅,中規模住宅が多い閑静な住宅地域
591,大田区,南千束３丁目３１２番３,551000,住宅,中規模程度の一般住宅が多い住宅地域
592,大田区,新蒲田２丁目１２０番３,427000,住宅,一般住宅の中にアパートが見られる住宅地域
593,大田区,下丸子４丁目４２７番４,417000,住宅,一般住宅、アパート等が混在する住宅地域
594,大田区,中央６丁目２１３番３,449000,住宅兼共同住宅,中規模一般住宅に共同住宅も見られる住宅地域
595,大田区,西糀谷４丁目１６４番１,405000,住宅,一般住宅を中心に事業所等も見られる住宅地域
596,大田区,大森中３丁目４８４番２,403000,住宅,一般住宅、アパート等が混在する住宅地域
597,大田区,田園調布南５番２９,438000,住宅,一般住宅を中心に共同住宅等も見られる住宅地域
598,大田区,南馬込４丁目１４３２番１,465000,住宅,中規模程度の一般住宅が多い住宅地域
599,大田区,池上５丁目６５３番２,442000,住宅,住宅、アパート、事業所等が混在する住宅地域
600,大田区,田園調布４丁目２７番１,672000,住宅,中規模以上の一般住宅が建ち並ぶ閑静な住宅地域
601,大田区,山王２丁目２２１０番２４６,605000,住宅,一般住宅、マンション等が建ち並ぶ住宅地域
602,大田区,西蒲田４丁目３０番１６,453000,住宅,中小規模一般住宅、共同住宅等が多い住宅地域
603,大田区,東六郷１丁目１０番５１,379000,工場兼住宅,中小工場、住宅、共同住宅等の混在する地域
604,大田区,南雪谷１丁目３３４番３,506000,住宅,中小規模住宅、アパート等が混在する住宅地域
605,大田区,久が原３丁目１０３９番３,568000,住宅,中小規模住宅の中に共同住宅が見られる住宅地域
606,大田区,田園調布３丁目４４番７,717000,住宅,中規模住宅が建ち並ぶ閑静な住宅地域
607,大田区,北千束２丁目５７８番４,574000,住宅兼事務所,一般住宅、マンション等が混在する住宅地域
608,大田区,大森北１丁目１５番９,1210000,共同住宅兼駐車場,高層マンションが多い利便性のよい共同住宅地域
609,大田区,東馬込１丁目５５番３２,450000,住宅,中規模一般住宅、共同住宅等が混在する住宅地域
610,大田区,東雪谷５丁目８７９番９,461000,住宅,中規模一般住宅が多く建ち並ぶ住宅地域
611,大田区,東矢口１丁目６６番７,478000,住宅,中小規模住宅、アパート等が混在する住宅地域
612,大田区,下丸子２丁目２７２番４外,481000,共同住宅,共同住宅の中に事務所等も見られる住宅地域
613,大田区,南馬込３丁目１１５６番２２,444000,住宅,一般住宅の中にアパートが見られる住宅地域
614,大田区,西蒲田８丁目１６番１５,487000,共同住宅,一般住宅、共同住宅等が混在する住宅地域
615,大田区,南千束２丁目１７１番１,591000,住宅,中規模一般住宅が建ち並ぶ住宅地域
616,大田区,池上７丁目４０番４,492000,住宅,中小規模住宅の中に共同住宅が見られる住宅地域
617,大田区,久が原１丁目１１４７番１,502000,住宅,中規模の一般住宅が多い区画整然とした住宅地域
618,大田区,北馬込１丁目７０番７６,505000,住宅,一般住宅の他共同住宅等もある住宅地域
619,大田区,上池台２丁目１１０９番３外,502000,住宅,一般住宅、アパート等が混在する住宅地域
620,大田区,雪谷大塚町６２２番５,522000,住宅,一般住宅の中にアパート等が見られる住宅地域
621,大田区,大森北４丁目１４８番２,455000,住宅,一般住宅、事務所併用住宅等が建ち並ぶ住宅地域
622,大田区,仲池上１丁目２２５番６外,431000,住宅、工場兼事務所,一般住宅、共同住宅、小工場等が混在する地域
623,大田区,千鳥２丁目３８番３１,469000,住宅,戸建住宅が多く、アパート等も見られる住宅地域
624,大田区,蒲田本町１丁目１４番７,408000,事務所兼住宅,事務所、アパート、住宅等が混在する住宅地域
625,大田区,矢口２丁目７８番１,458000,住宅,小規模一般住宅、事業所等が混在する住宅地域
626,大田区,中馬込１丁目２番２外,519000,共同住宅,中層共同住宅や低層戸建住宅が混在する住宅地域
627,大田区,大森東２丁目２６６４番,384000,住宅,一般住宅のほか営業所等も見られる住宅地域
628,大田区,西蒲田７丁目６６番２,3840000,店舗,中高層建物の店舗が建ち並ぶ商業地域
629,大田区,東雪谷２丁目３５４番５,620000,店舗兼共同住宅,店舗併用住宅、店舗、事務所が建ち並ぶ商業地域
630,大田区,東糀谷２丁目８６４番４,450000,店舗兼共同住宅,店舗、店舗兼共同住宅等が混在する既成商業地域
631,大田区,山王２丁目２３１７番１外,1880000,事務所,中高層の店舗、事務所等が建ち並ぶ商業地域
632,大田区,大森北１丁目３０番６外,959000,店舗兼事務所,アーケード小売店舗街の駅に近い商業地域
633,大田区,東矢口２丁目１８５番５,525000,事務所兼共同住宅,中層事務所兼共同住宅、店舗等が多い商業地域
634,大田区,大森西５丁目４番４,560000,店舗、住宅兼共同住宅,小売店舗、飲食店等が建ち並ぶ商業地域
635,大田区,久が原３丁目１０５２番１０,668000,店舗、車庫兼共同住宅,中層の店舗兼共同住宅が建ち並ぶ近隣商業地域
636,大田区,中央３丁目６７６番５,520000,店舗、事務所兼共同住宅,中層の店舗兼住宅、事務所等が混在する商業地域
637,大田区,南蒲田３丁目１４６１番６,683000,事務所、工場兼住宅,住宅、店舗、事務所等が建ち並ぶ路線商業地域
638,大田区,南蒲田１丁目１１番１２外,942000,店舗、事務所兼共同住宅,中高層の店舗兼共同住宅が多い駅前の商業地域
639,大田区,仲六郷２丁目３番１０,470000,店舗兼住宅,小売店舗、飲食店等が建ち並ぶ近隣商業地域
640,大田区,西蒲田７丁目５１番９,793000,店舗兼事務所,小売店舗等が多い、駅前通り沿いの商業地域
641,大田区,蒲田５丁目１８番１６,2180000,店舗兼事務所,中高層の店舗ビル等が建ち並ぶ中心的商業地域
642,大田区,多摩川１丁目２９７番４内,569000,店舗兼共同住宅,低層の店舗兼共同住宅等が建ち並ぶ近隣商業地域
643,大田区,大森北６丁目１０９番３,518000,店舗兼住宅,飲食店、小売店舗等が建ち並ぶ駅前の商業地域
644,大田区,西蒲田７丁目４８番１６,1910000,事務所兼共同住宅,中高層の店舗兼共同住宅等が建ち並ぶ商業地域
645,大田区,田園調布南１９番５９,521000,事務所兼共同住宅,店舗兼住宅、中層共同住宅が混在する商業地域
646,大田区,南馬込５丁目５５番１３外,565000,店舗兼住宅,低層店舗、中層店舗共同住宅が多い近隣商業地域
647,大田区,羽田３丁目３番４,461000,店舗、事務所兼共同住宅,小売店舗、共同住宅等が混在する既成商業地域
648,大田区,西糀谷４丁目７１番３,622000,店舗,小規模小売店舗が建ち並ぶ駅前通りの商業地域
649,大田区,蒲田本町２丁目４番１３,762000,店舗、事務所兼共同住宅,中高層店舗兼共同住宅、事務所等の多い商業地域
650,大田区,上池台１丁目９番４,615000,店舗、車庫兼共同住宅,中高層店舗兼共同住宅等が多い商業地域
651,大田区,田園調布２丁目５１番２０,1050000,店舗兼住宅,店舗、店舗兼住宅等が建ち並ぶ駅に近い商業地域
652,大田区,千鳥１丁目７８番１０外,605000,店舗兼共同住宅,中層店舗兼住宅、共同住宅等が多い近隣商業地域
653,大田区,南雪谷２丁目７１８番２,701000,店舗、事務所兼住宅,小売店舗、飲食店舗等が建ち並ぶ駅前の商業地域
654,大田区,山王２丁目２１３５番２外,666000,店舗兼共同住宅,店舗、事務所兼共同住宅が建ち並ぶ近隣商業地域
655,大田区,多摩川１丁目２２３番１,546000,事務所兼住宅,店舗、事務所、共同住宅等が混在する商業地域
656,大田区,大森北５丁目１３４番２,531000,店舗、事務所兼共同住宅,中高層共同住宅、低層店舗等が混在する商業地域
657,大田区,新蒲田１丁目３９番６,465000,店舗、事務所兼共同住宅,小売店舗、マンション等が混在する商業地域
658,大田区,東糀谷３丁目１６６番２内,708000,店舗兼共同住宅,高層店舗兼共同住宅とホテルの多い路線商業地域
659,大田区,田園調布２丁目５番４,623000,店舗兼住宅,店舗、事務所、マンション等が混在する商業地域
660,大田区,蒲田４丁目１５番４１,1310000,店舗兼事務所,中高層の店舗兼事務所ビル等が多い駅前商業地域
661,大田区,上池台３丁目７５３番２,569000,店舗兼共同住宅,中低層の店舗兼共同住宅等が建ち並ぶ商業地域
662,大田区,西糀谷２丁目７０３番１,556000,事務所兼共同住宅,中高層店舗兼共同住宅の多い路線商業地域
663,大田区,仲六郷２丁目１０番５９,636000,店舗兼共同住宅,小売店舗兼住宅の多いアーケードの近隣商業地域
664,大田区,東糀谷６丁目１３３５番１外,297000,工場兼事務所,工場、配送センター等が建ち並ぶ工業地域
665,大田区,東海２丁目７番１,620000,倉庫兼事務所,大規模な倉庫、市場、事業所等が混在する地域
666,大田区,南六郷３丁目１６番２９,368000,工場兼住宅,小規模工場、住宅等が混在する工業地域
667,大田区,大森南３丁目４３３番１２,290000,工場兼事務所,工場、事務所、マンション等が混在する工業地域
668,大田区,城南島２丁目９番１,251000,倉庫,倉庫、配送センター、工場等が建ち並ぶ工業地域
669,世田谷区,桜上水５丁目４８０番１２,590000,住宅,中小規模の一般住宅が多い閑静な住宅地域
670,世田谷区,等々力５丁目３３番１５,720000,空地,中規模一般住宅が多い区画整然とした住宅地域
671,世田谷区,上馬１丁目５９５番２０,605000,住宅,中規模住宅とアパートが建ち並ぶ既成住宅地域
672,世田谷区,南烏山２丁目４９６番１５,561000,住宅,住宅、アパート等が建ち並ぶ住宅地域
673,世田谷区,大原１丁目１０６０番２３,660000,住宅,一般住宅、アパート等が建ち並ぶ住宅地域
674,世田谷区,上野毛４丁目３０６番７,649000,住宅,中規模一般住宅が多い閑静な住宅地域
675,世田谷区,等々力６丁目４４番１,895000,共同住宅,マンションが建ち並ぶ幹線道路沿いの住宅地域
676,世田谷区,東玉川１丁目６７番１０,617000,住宅,中規模一般住宅が建ち並ぶ住宅地域
677,世田谷区,奥沢３丁目３００番３,747000,住宅,中規模住宅が建ち並ぶ閑静な住宅地域
678,世田谷区,喜多見９丁目１５８０番２,379000,住宅,一般住宅等の中に空地もみられる住宅地域
679,世田谷区,新町１丁目６６番８,596000,住宅,一般住宅、共同住宅の中に畑も見られる住宅地域
680,世田谷区,用賀４丁目３２６番２,730000,共同住宅,一般住宅、マンション、アパートがある住宅地域
681,世田谷区,桜新町２丁目５２１番１,830000,共同住宅,中高層マンション、事業所等が見られる住宅地域
682,世田谷区,鎌田２丁目２３５番４２,330000,住宅,一般住宅、アパート、マンションがある住宅地域
683,世田谷区,赤堤５丁目４８４番４２,581000,住宅,一般住宅の中にアパートが見られる住宅地域
684,世田谷区,成城６丁目８１９番４,845000,住宅,中規模以上の戸建住宅が多い環境の良い住宅地域
685,世田谷区,上祖師谷５丁目１０３１番２２,432000,住宅,一般住宅、アパート等が建ち並ぶ住宅地域
686,世田谷区,上馬４丁目３４番１０,665000,住宅,中規模一般住宅を中心とする住宅地域
687,世田谷区,喜多見４丁目４１５７番６,300000,住宅,一般住宅の多い中に農地も見られる住宅地域
688,世田谷区,瀬田４丁目３３４番１７外,645000,住宅,中規模一般住宅が多い閑静な住宅地域
689,世田谷区,宇奈根２丁目２３０番８,289000,住宅,一般住宅の中に空地が見られる住宅地域
690,世田谷区,祖師谷１丁目１３８番１３,557000,住宅,一般住宅とアパート等が建ち並ぶ住宅地域
691,世田谷区,代田２丁目６６８番１６５,734000,住宅,一般戸建住宅等が建ち並ぶ住宅地域
692,世田谷区,奥沢７丁目１０１番２,795000,住宅,一般住宅、集合住宅が建ち並ぶ住宅地域
693,世田谷区,弦巻５丁目６１６番１９,603000,住宅,一般住宅と共同住宅等が建ち並ぶ住宅地域
694,世田谷区,用賀３丁目５１１番１２,799000,共同住宅,中高層マンションが多い住宅地域
695,世田谷区,等々力８丁目７３番４,709000,共同住宅,マンション、一般住宅、学校が見られる住宅地域
696,世田谷区,等々力１丁目７９番１２,709000,住宅,中規模の一般住宅が多い住宅地域
697,世田谷区,桜丘３丁目２７１１番２６,538000,住宅,中規模一般住宅が建ち並ぶ住宅地域
698,世田谷区,北沢１丁目５０１番３,775000,住宅,中規模一般住宅が多い閑静な住宅地域
699,世田谷区,岡本１丁目１２７４番１外,475000,住宅,一般住宅、アパートのほか畑地等も残る住宅地域
700,世田谷区,太子堂２丁目３５６番４５,723000,共同住宅,一般住宅の中にアパート等も見られる住宅地域
701,世田谷区,赤堤２丁目１１３６番３３,660000,住宅,一般住宅、アパートの他、店舗等も混在する地域
702,世田谷区,梅丘２丁目１３６３番１１,585000,住宅,一般住宅、アパート等が見られる閑静な住宅地域
703,世田谷区,砧８丁目６２番９,640000,住宅,一般住宅の中に共同住宅も見られる住宅地域
704,世田谷区,深沢１丁目３０番２２,698000,住宅,一般住宅の中にアパート等が見られる住宅地域
705,世田谷区,代沢２丁目１番１０,810000,住宅,中規模以上の一般住宅が多い閑静な住宅地域
706,世田谷区,玉川４丁目１３９番３２,660000,住宅,中規模一般住宅が建ち並ぶ既成住宅地域
707,世田谷区,成城２丁目２０８番１８,683000,住宅,中規模一般住宅が建ち並ぶ閑静な住宅地域
708,世田谷区,上祖師谷１丁目４３９番７外,495000,住宅,一般住宅及びアパート等が建ち並ぶ住宅地域
709,世田谷区,喜多見１丁目４０１７番１０,269000,住宅,小規模一般住宅のほか空地等も見られる住宅地域
710,世田谷区,祖師谷５丁目５８３番６３,410000,住宅,中規模一般住宅が建ち並ぶ閑静な住宅地域
711,世田谷区,池尻２丁目１３２番２,698000,住宅,一般住宅、共同住宅が建ち並ぶ住宅地域
712,世田谷区,桜丘４丁目２８２４番３５,548000,住宅,中小規模一般住宅が建ち並ぶ住宅地域
713,世田谷区,世田谷２丁目３８７番１９,585000,住宅,一般住宅とアパートが建ち並ぶ住宅地域
714,世田谷区,代田１丁目３７５番６,658000,住宅,中規模一般住宅、アパート等が建ち並ぶ住宅地域
715,世田谷区,船橋６丁目２２番５,490000,住宅,一般住宅に共同住宅も見られる住宅地域
716,世田谷区,経堂２丁目２４４番３９,627000,住宅,中小規模一般住宅、マンション等が多い住宅地域
717,世田谷区,羽根木１丁目１６５５番２３,592000,住宅,中規模一般住宅が建ち並ぶ閑静な住宅地域
718,世田谷区,赤堤３丁目２７１番１４,654000,住宅,中規模一般住宅が多く共同住宅もある住宅地域
719,世田谷区,松原５丁目４２２番３,594000,住宅,中小規模住宅とアパート等が建ち並ぶ住宅地域
720,世田谷区,経堂５丁目８９９番２７外,599000,住宅,中規模一般住宅、アパート等が建ち並ぶ住宅地域
721,世田谷区,代沢１丁目８０番９,714000,住宅,一般住宅にアパートも見られる高台の住宅地域
722,世田谷区,宮坂１丁目２４４３番２２,632000,住宅,中規模一般住宅等が多い住宅地域
723,世田谷区,弦巻１丁目１５番２８,625000,住宅,一般住宅の中にアパート等が見られる住宅地域
724,世田谷区,奥沢８丁目２７１番１３,727000,住宅,中規模一般住宅が多い区画整然とした住宅地域
725,世田谷区,大蔵５丁目２８６４番２１,348000,住宅,一般住宅の中にアパート等が見られる住宅地域
726,世田谷区,野沢４丁目２４５番１０,618000,住宅,一般住宅にアパート等も見られる住宅地域
727,世田谷区,新町３丁目３２４番１２,727000,住宅,中規模一般住宅が多くアパートもある住宅地域
728,世田谷区,世田谷４丁目１１５番３,615000,住宅,中小規模一般住宅、アパート等が多い住宅地域
729,世田谷区,中町２丁目４５番４３,647000,住宅,中規模一般住宅、アパートが建ち並ぶ住宅地域
730,世田谷区,松原４丁目１０７５番７,590000,住宅,一般住宅、アパート等が建ち並ぶ住宅地域
731,世田谷区,若林３丁目２１６番６,610000,住宅,中小規模一般住宅、アパートが建ち並ぶ住宅地域
732,世田谷区,野毛１丁目９５番５外,535000,住宅,一般住宅とアパート等が見られる住宅地域
733,世田谷区,弦巻３丁目１４番１,789000,共同住宅,中高層のマンションが多く建ち並ぶ住宅地域
734,世田谷区,上用賀６丁目１０３番７,548000,住宅,一般住宅にアパート等も見られる住宅地域
735,世田谷区,下馬６丁目６０番２５,789000,住宅,中小規模一般住宅が建ち並ぶ住宅地域
736,世田谷区,三宿２丁目２４５番４,686000,住宅,中小規模一般住宅が多く建ち並ぶ住宅地域
737,世田谷区,経堂４丁目５４２番１２,625000,住宅,中規模一般住宅とアパートが建ち並ぶ住宅地域
738,世田谷区,下馬２丁目１４５番２７,652000,住宅,中小規模住宅にアパート等が建ち並ぶ住宅地域
739,世田谷区,宮坂３丁目２３４４番１１,616000,住宅,一般住宅とアパート等が建ち並ぶ住宅地域
740,世田谷区,三軒茶屋１丁目４２２番４２,739000,共同住宅,中規模一般住宅、マンション等が多い住宅地域
741,世田谷区,深沢５丁目１０番８外,604000,共同住宅,一般住宅の中にアパート等も見られる住宅地域
742,世田谷区,上野毛２丁目８２番２外,649000,住宅,閑静な中規模一般住宅が多い住宅地域
743,世田谷区,若林５丁目６０３番１５,601000,住宅,一般住宅、アパート等が建ち並ぶ住宅地域
744,世田谷区,給田２丁目３４４番１３,402000,住宅,一般住宅、アパート等が建ち並ぶ住宅地域
745,世田谷区,北烏山７丁目２２２４番７,372000,住宅,一般住宅のほかにアパート等が見られる住宅地域
746,世田谷区,粕谷３丁目５番１５,430000,住宅,中小規模一般住宅、アパート等もある住宅地域
747,世田谷区,用賀１丁目６番４,665000,住宅,中規模一般住宅が多い閑静な住宅地域
748,世田谷区,松原１丁目１２３番４８,622000,住宅,一般住宅を中心に共同住宅等も見られる住宅地域
749,世田谷区,若林２丁目４６５番６,630000,住宅,中小規模一般住宅が建ち並ぶ住宅地域
750,世田谷区,上野毛１丁目６２番１０内,716000,住宅,一般住宅、共同住宅等が建ち並ぶ住宅地域
751,世田谷区,桜２丁目５８６番３,550000,住宅,一般住宅に共同住宅等も見られる住宅地域
752,世田谷区,上馬５丁目９番３４,613000,住宅,一般住宅のほかにアパート等が見られる住宅地域
753,世田谷区,桜上水１丁目１０１番２０,507000,住宅,中小規模一般住宅にアパートも見られる住宅地域
754,世田谷区,北烏山９丁目２０２３番１９,388000,住宅,小規模戸建住宅、アパート等が建ち並ぶ住宅地域
755,世田谷区,砧１丁目３４７番８０,465000,住宅,小規模一般住宅にアパートも見られる住宅地域
756,世田谷区,上北沢３丁目８７７番６６外,681000,住宅,大規模住宅が建ち並ぶ環境の良い住宅地域
757,世田谷区,成城８丁目５４９番４,638000,住宅,中規模一般住宅が多い区画整然とした住宅地域
758,世田谷区,奥沢５丁目１４０番,835000,住宅,中規模一般住宅が建ち並ぶ住宅地域
759,世田谷区,千歳台５丁目５１７番５,428000,住宅,一般住宅とアパートが建ち並ぶ郊外の住宅地域
760,世田谷区,粕谷２丁目１８９番１９外,460000,住宅,一般住宅のほかマンションも見られる住宅地域
761,世田谷区,下馬３丁目５２番１７,673000,診療所兼住宅,住宅、アパート、店舗等が混在する既成住宅地域
762,世田谷区,北沢４丁目６５０番１１,648000,住宅,小規模一般住宅にアパート等が見られる住宅地域
763,世田谷区,瀬田１丁目９４９番３,719000,住宅,中規模一般住宅が建ち並ぶ閑静な住宅地域
764,世田谷区,代田５丁目９０１番２,690000,住宅,中規模住宅及びアパート等の建ち並ぶ住宅地域
765,世田谷区,船橋１丁目３４０番３２,530000,住宅,中小規模一般住宅、アパートが建ち並ぶ住宅地域
766,世田谷区,深沢８丁目１０８番２７,749000,住宅,中規模一般住宅が多い閑静な住宅地域
767,世田谷区,上用賀１丁目１４番１７,642000,住宅,中規模、小規模住宅が建ち並ぶ住宅地域
768,世田谷区,玉川田園調布２丁目７２８番２,702000,住宅,中規模以上の一般住宅が多い閑静な住宅地域
769,世田谷区,野沢３丁目１１８番８外,708000,住宅,中小規模の一般住宅が建ち並ぶ住宅地域
770,世田谷区,鎌田４丁目２２番２８,324000,住宅,一般住宅、アパート等が建ち並ぶ住宅地域
771,世田谷区,南烏山４丁目１０９３番５,515000,住宅,一般住宅のほか共同住宅もある住宅地域
772,世田谷区,上祖師谷２丁目３８２番１０,424000,住宅,一般住宅が多く見られる住宅地域
773,世田谷区,砧４丁目２５２番２,557000,住宅,中規模一般住宅が多い閑静な住宅地域
774,世田谷区,祖師谷６丁目７１３番１４,390000,住宅,中小規模一般住宅、アパート等がある住宅地域
775,世田谷区,代沢５丁目１１４１番８,703000,住宅,中小規模一般住宅とアパートが建ち並ぶ住宅地域
776,世田谷区,玉川１丁目６７番２,748000,住宅,中小規模の一般住宅が多い住宅地域
777,世田谷区,桜丘２丁目２６３６番２,716000,共同住宅,中高層のマンションを中心とした住宅地域
778,世田谷区,粕谷１丁目４１１番１,584000,共同住宅,中高層マンション、事務所等が見られる住宅地域
779,世田谷区,三軒茶屋２丁目２３４番１５,1100000,共同住宅,マンション、一般住宅等が見られる住宅地域
780,世田谷区,桜新町２丁目５２５番１３,943000,店舗兼事務所,小売店舗と中層の事務所ビルが建ち並ぶ商業地域
781,世田谷区,上北沢４丁目１１０９番１８,634000,店舗兼共同住宅,小売店舗が建ち並ぶ駅前の商業地域
782,世田谷区,太子堂２丁目４２８番１６外,2340000,店舗兼事務所,小売店舗、飲食店、銀行等が建ち並ぶ商業地域
783,世田谷区,北沢２丁目１０４５番３７,2600000,店舗兼住宅,小売、飲食、娯楽店舗等の建ち並ぶ駅前商業地域
784,世田谷区,尾山台３丁目７番１０外,710000,空地,店舗、事務所等が建ち並ぶ路線商業地域
785,世田谷区,玉川４丁目１６６７番８,720000,店舗兼住宅,小売店舗、店舗併用住宅が建ち並ぶ商業地域
786,世田谷区,池尻３丁目１５９番１３外,1200000,店舗兼住宅,中小規模の店舗ビル等が建ち並ぶ路線商業地域
787,世田谷区,等々力２丁目１７番６,900000,店舗兼住宅,小売店舗が建ち並ぶ駅前の商業地域
788,世田谷区,奥沢４丁目３２番３,752000,店舗兼共同住宅,低中層の店舗兼共同住宅等が多い近隣商業地域
789,世田谷区,北沢２丁目９７０番５,1430000,店舗兼住宅,小売店舗等が建ち並ぶ駅に近い商業地域
790,世田谷区,大原２丁目１３０７番８,710000,店舗兼共同住宅,小規模店舗、店舗兼共同住宅が多い駅前商業地域
791,世田谷区,世田谷４丁目５０番７,713000,店舗、共同住宅兼倉庫,小売店舗、共同住宅等が建ち並ぶ駅前商業地域
792,世田谷区,南烏山５丁目６４３番８外,1250000,店舗兼事務所,中層の店舗、事務所ビルが建ち並ぶ商業地域
793,世田谷区,松原１丁目６４６番１７,873000,店舗兼住宅,小売、飲食店舗等が建ち並ぶ駅に近い商業地域
794,世田谷区,駒沢２丁目９６３番１８,1060000,店舗兼共同住宅,中高層の店舗兼共同住宅が多い商業地域
795,世田谷区,豪徳寺１丁目２０３２番８,793000,店舗、事務所兼住宅,中低層の小売店舗の建ち並ぶ駅前の商業地域
796,世田谷区,経堂１丁目３６番２１,950000,店舗、診療所兼住宅,小売店舗、飲食店が建ち並ぶ駅前の商業地域
797,世田谷区,瀬田２丁目８１２番１１,720000,事務所,中低層の店舗、事務所等が多い路線商業地域
798,世田谷区,用賀４丁目４２５番８,835000,店舗兼共同住宅,中層ビル、小売店舗が建ち並ぶ駅前の商業地域
799,世田谷区,玉川３丁目１５９６番３,1300000,店舗、診療所兼住宅,大規模店舗に中小規模店舗が混在する商業地域
800,世田谷区,代田１丁目３６８番２,645000,店舗兼共同住宅,低中層店舗兼共同住宅が多い近隣商業地域
801,世田谷区,松原３丁目８３７番２,794000,店舗兼共同住宅,マンションと事務所ビルが混在する路線商業地域
802,世田谷区,三軒茶屋１丁目１７番１１外,1120000,店舗,小売店舗、飲食店等が建ち並ぶ駅に近い商業地域
803,世田谷区,若林５丁目５７６番４,661000,店舗兼共同住宅,中小規模の店舗兼住宅が建ち並ぶ路線商業地域
804,世田谷区,深沢６丁目４１番２２,639000,店舗兼事務所,店舗、営業所、銀行等が混在する近隣商業地域
805,世田谷区,用賀２丁目４番５,649000,店舗兼事務所,店舗、営業所等が建ち並ぶ路線商業地域
806,世田谷区,桜丘５丁目３１１５番１,620000,店舗兼共同住宅,中層の店舗付マンション等が多い路線商業地域
807,世田谷区,南烏山３丁目８６５番１,635000,店舗兼共同住宅,店舗、営業所等が建ち並ぶ路線商業地域
808,世田谷区,桜上水４丁目４３０番１２,771000,店舗兼共同住宅,小売店舗が建ち並ぶ駅に近い商業地域
809,世田谷区,奥沢５丁目３１６番９,1080000,店舗兼共同住宅,小規模な店舗兼共同住宅等が多い近隣商業地域
810,世田谷区,喜多見８丁目２１７５番１０,694000,店舗、事務所兼共同住宅,中低層の店舗兼共同住宅が多い駅に近い商業地域
811,世田谷区,松原５丁目１６８番４０,703000,店舗兼共同住宅,小売店舗、マンション等が混在する駅前商業地域
812,渋谷区,初台２丁目８番１４,900000,共同住宅、住宅兼事務所,一般住宅、マンション等が混在する住宅地域
813,渋谷区,千駄ケ谷１丁目２６番６,1210000,住宅,一般住宅、マンション等が混在する住宅地域
814,渋谷区,広尾２丁目１１番６,1280000,住宅,中規模一般住宅が多い閑静な住宅地域
815,渋谷区,神宮前４丁目１８番７,1980000,共同住宅,マンション、一般住宅等が混在する住宅地域
816,渋谷区,松濤１丁目２６番３７外,1730000,共同住宅兼車庫,大規模住宅、マンション等が多い閑静な住宅地域
817,渋谷区,大山町１０６７番４１外,1100000,住宅兼車庫,中規模以上の住宅が多い区画整然とした住宅地域
818,渋谷区,本町１丁目９番１３,670000,住宅兼共同住宅,一般住宅、共同住宅が建ち並ぶ住宅地域
819,渋谷区,恵比寿３丁目２８番２６,1190000,住宅,一般住宅、マンション等が混在する住宅地域
820,渋谷区,元代々木町５０番１４,961000,住宅,中規模住宅、マンション等が混在する住宅地域
821,渋谷区,神泉町５番１１,888000,住宅,住宅、アパート、マンションが混在する住宅地域
822,渋谷区,恵比寿西２丁目２０番１,2380000,共同住宅,中高層のマンションが建ち並ぶ住宅地域
823,渋谷区,恵比寿西２丁目１２番１８外,1400000,共同住宅,一般住宅、マンション等が混在する住宅地域
824,渋谷区,渋谷４丁目３番５外,1500000,共同住宅,中規模以上の住宅、マンション等の多い住宅地域
825,渋谷区,上原２丁目１１７７番１３６,1060000,住宅,中規模一般住宅等が建ち並ぶ閑静な住宅地域
826,渋谷区,代々木５丁目３０番１,1310000,共同住宅,中層のマンションが建ち並ぶ住宅地域
827,渋谷区,東３丁目６７番２,883000,住宅,一般住宅、アパート等が混在する住宅地域
828,渋谷区,千駄ケ谷５丁目１２番６,1000000,共同住宅,住宅、マンション、事務所等が混在する住宅地域
829,渋谷区,神宮前５丁目３４番５,1350000,住宅,中規模一般住宅等が多い住宅地域
830,渋谷区,南平台町５２番８,1660000,住宅,中規模住宅、マンション等が多い閑静な住宅地域
831,渋谷区,笹塚１丁目１２番４,670000,共同住宅,一般住宅、アパート等が混在する住宅地域
832,渋谷区,千駄ケ谷３丁目４番２５,1260000,建築中,中規模住宅、共同住宅等が混在する住宅地域
833,渋谷区,恵比寿４丁目１５番１,1050000,共同住宅,中規模一般住宅、共同住宅等が混在する住宅地域
834,渋谷区,代々木４丁目３６番１８,1060000,共同住宅,中低層一般住宅、共同住宅等が混在する住宅地域
835,渋谷区,広尾３丁目６７番９,1180000,住宅,中規模以上の住宅、マンションが多い住宅地域
836,渋谷区,上原１丁目１３４１番７,1020000,住宅,中規模一般住宅、アパート等が混在する住宅地域
837,渋谷区,松濤２丁目１４番３０,1340000,住宅,中規模住宅が多い閑静な住宅地域
838,渋谷区,道玄坂１丁目１６番１８,5570000,店舗,中層の店舗ビル等が建ち並ぶ商業地域
839,渋谷区,神南１丁目３９番３,5650000,店舗兼事務所,中高層の店舗、事務所ビル等が建ち並ぶ商業地域
840,渋谷区,渋谷２丁目９番３,5760000,店舗兼事務所,中高層の店舗、事務所ビル等が建ち並ぶ商業地域
