ID,市区町村名,地番,価格(円/平米),利用の現状,周辺の土地の利用の現況
55,千代田区,神田紺屋町４７番１,1820000,店舗兼事務所,中小規模の店舗、事務所ビルが建ち並ぶ商業地域
56,千代田区,紀尾井町１番４外,2890000,店舗兼事務所,中層店舗付事務所ビル、ホテル等が建ち並ぶ地域
57,千代田区,麹町５丁目７番１外,1690000,事務所兼車庫,高層の事務所ビルが建ち並ぶ商業地域
58,千代田区,丸の内１丁目１番１２外,24500000,事務所、ホテル兼店舗等,超高層の事務所主体のビルが建ち並ぶ商業地域
59,千代田区,神田神保町１丁目２０番６,715000,店舗兼住宅,小規模の店舗兼住宅等が多い細街路沿い商業地域
60,千代田区,永田町２丁目２７番１,2390000,事務所兼駐車場,中高層の事務所等が建ち並ぶ商業地域
61,中央区,月島２丁目１６１８番,930000,事務所、作業所兼住宅,一般住宅、中高層店舗兼共同住宅混在の住宅地域
62,中央区,明石町５２８番２,1600000,診療所、共同住宅兼事務所,マンション、事務所、店舗等が混在する住宅地域
63,中央区,勝どき３丁目４１９番１,1280000,共同住宅兼店舗,中高層マンション、事業所等が混在する住宅地域
64,中央区,月島３丁目２５０３番,1260000,共同住宅,中高層のマンション、住宅等が混在する住宅地域
65,中央区,佃３丁目２２番９,820000,住宅,小規模な一般住宅、事業所等が混在する住宅地域
66,中央区,佃３丁目５番１外,1950000,共同住宅,高層マンションが建ち並ぶ利便性の良い住宅地域
67,中央区,佃２丁目２０８番１,1230000,共同住宅,マンション、一般住宅、店舗等が混在する地域
68,中央区,日本橋浜町３丁目３２番２,1200000,共同住宅,高層共同住宅が建ち並び事務所等が見られる地域
69,中央区,日本橋中洲１０番２,1220000,共同住宅,中高層の共同住宅が建ち並ぶ住宅地域
70,中央区,晴海５丁目１番４,1030000,共同住宅兼駐車場,高層マンションのほか未利用地も多い住宅地域
71,中央区,銀座２丁目２１３番１４,2930000,店舗兼事務所,中高層の店舗、事務所ビルが多い商業地域
72,中央区,銀座６丁目４番１３外,31200000,店舗,高層の店舗、店舗兼事務所等が建ち並ぶ商業地域
73,中央区,京橋１丁目１５番,7270000,事務所,高層の事務所ビルが建ち並ぶ商業地域
74,中央区,銀座３丁目３番１,16900000,店舗,中高層の店舗、事務所ビルが多い商業地域
75,中央区,京橋１丁目１番１外,22100000,店舗、事務所兼駐車場,中高層事務所ビル等が建ち並ぶ中心的商業地域
76,中央区,日本橋久松町９番２外,1860000,事務所,中高層の店舗、事務所ビル等が建ち並ぶ商業地域
77,中央区,八重洲１丁目１０５番９,8010000,店舗兼事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
78,中央区,日本橋３丁目１１番１,7700000,事務所,中高層の事務所ビルが建ち並ぶ商業地域
79,中央区,日本橋人形町１丁目１９番１８,2880000,店舗、事務所兼住宅,中高層の店舗、事務所が多く建ち並ぶ商業地域
80,中央区,築地５丁目２番１１外,2400000,店舗、事務所兼駐車場,中高層の店舗、事務所等が建ち並ぶ商業地域
81,中央区,日本橋兜町１３３番外,5350000,店舗兼事務所,高層の事務所ビルが建ち並ぶ既成商業地域
82,中央区,日本橋小伝馬町１０２番７外,2840000,店舗、事務所兼住宅,中高層の店舗、事務所ビルが建ち並ぶ商業地域
83,中央区,勝どき４丁目２０１番,1960000,店舗兼共同住宅,中高層の店舗兼共同住宅等が建ち並ぶ商業地域
84,中央区,新富１丁目５番１,2120000,店舗兼事務所,事務所ビル等のほか共同住宅も建ち並ぶ商業地域
85,中央区,日本橋蛎殻町１丁目１６番５外,2200000,店舗兼事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
86,中央区,日本橋本町４丁目１５番３,5550000,事務所兼駐車場,高層の店舗、事務所ビルが多い既成商業地域
87,中央区,新川１丁目５番１４,2200000,店舗、事務所兼住宅等,中高層の事務所ビルが建ち並ぶ路線商業地域
88,中央区,銀座４丁目１０３番１外,29500000,店舗兼事務所,高層の店舗、事務所ビルが多い中心商業地域
89,中央区,築地２丁目１２０４番１２,2040000,店舗、事務所兼住宅,中高層の店舗、事務所、料亭が見られる商業地域
90,中央区,日本橋人形町２丁目２１番１０,1660000,店舗、事務所兼住宅,中高層の店舗、事務所ビル等が多い商業地域
91,中央区,新川２丁目１０１番１０外,2100000,事務所兼駐車場,中高層の店舗、事務所等が多い商業地域
92,中央区,銀座４丁目２番４,57200000,店舗兼事務所,高層の店舗事務所ビルが建ち並ぶ商業地域
93,中央区,銀座７丁目１番２外,42000000,店舗,中高層の店舗ビル等が建ち並ぶ繁華な商業地域
94,中央区,日本橋茅場町２丁目１０番３,2100000,店舗兼事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
95,中央区,日本橋富沢町１０番１１,1420000,事務所,中層の営業所、事務所ビルが建ち並ぶ商業地域
96,中央区,八丁堀１丁目１０５番５,4400000,事務所,高層の店舗兼事務所が建ち並ぶ商業地域
97,中央区,銀座２丁目１０３番６,5720000,店舗、事務所兼住宅等,中層の事務所ビル、店舗等が建ち並ぶ商業地域
98,中央区,八重洲２丁目１０番１外,12800000,事務所,高層事務所ビルの中、駐車場も見られる商業地域
99,中央区,銀座２丁目２番１９外,42600000,店舗兼事務所,中高層の店舗、店舗兼事務所が建ち並ぶ商業地域
100,中央区,新川１丁目２０８番４,1020000,事務所、工場兼住宅,中低層事務所ビル、印刷所等が混在する商業地域
101,中央区,月島３丁目９１２番,1390000,店舗兼倉庫,小規模な低層店舗等が建ち並ぶ既成の商業地域
102,中央区,入船３丁目１番１外,2210000,店舗兼事務所,中高層の事務所、共同住宅等が混在する商業地域
103,中央区,京橋１丁目６番１外,17000000,店舗、事務所兼駐車場等,中高層の店舗兼事務所ビルが建ち並ぶ商業地域
104,中央区,日本橋人形町１丁目５番５９,1160000,事務所,中低層店舗併用住宅、事務所ビルが多い商業地域
105,中央区,日本橋２丁目１番１外,20600000,店舗兼事務所,高層の事務所ビル等が建ち並ぶ中心的商業地域
106,中央区,日本橋馬喰町２丁目３番２０,1140000,事務所、住宅兼車庫,中高層の小規模な営業所兼事務所が多い商業地域
107,中央区,日本橋蛎殻町２丁目１３番１５,996000,事務所,中層事務所ビルの他共同住宅も見られる商業地域
108,中央区,八丁堀４丁目６番５,2830000,事務所、住宅兼車庫等,中高層の店舗、事務所が建ち並ぶ駅近の商業地域
109,中央区,日本橋室町１丁目１４番６,2790000,店舗、事務所兼共同住宅,中低層の店舗、事務所ビル等が建ち並ぶ商業地域
